position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,402712;-3,351608;0,4
-2,321006;-3,350476;0,42
-2,239305;-3,349555;0,4400001
-2,157605;-3,348784;0,4600001
-2,075905;-3,348139;0,4800001
-1,914362;-3,34356;0,5000001
-1,831853;-3,343487;0,52
-1,750152;-3,343487;0,54
-1,668451;-3,343487;0,56
-1,586748;-3,343487;0,58
-1,423351;-3,343487;0,6
-1,338012;-3,343487;0,6199999
-1,254972;-3,343487;0,6399999
-1,171853;-3,343487;0,6599999
-1,090152;-3,343487;0,6799999
-1,01017;-3,340527;0,6999999
-0,8511981;-3,330222;0,7199998
-0,7684501;-3,330222;0,7399998
-0,6866491;-3,330222;0,7599998
-0,6016952;-3,330222;0,7799998
-0,5190447;-3,330222;0,7999998
-0,3556487;-3,330222;0,8199998
-0,2732349;-3,330222;0,8399997
-0,1915344;-3,330222;0,8599997
-0,1726964;-3,330222;0,8799997
-0,1943683;-3,330222;0,8999997
-0,201549;-3,330222;0,9199997
-0,2025978;-3,330222;0,9399996
-0,2033443;-3,330222;0,9599996
-0,2038571;-3,330222;0,9799996
-0,2042152;-3,330222;0,9999996
-0,2044636;-3,330222;1,02
-0,2047463;-3,330222;1,04
-0,2048268;-3,330222;1,06
-0,204881;-3,330222;1,08
-0,2049181;-3,330222;1,1
-0,2049439;-3,330222;1,12
-0,2049735;-3,330222;1,14
-0,2049817;-3,330222;1,159999
-0,2049874;-3,330222;1,179999
-0,2049914;-3,330222;1,199999
-0,2049941;-3,330222;1,219999
