position x; position y; time
-4,42;-3,34;0,02
-4,42;-3,34;0,04
-4,42;-3,34;0,06
-4,412157;-3,34;0,08
-4,396471;-3,34;0,09999999
-4,372941;-3,34;0,12
-4,341569;-3,34;0,14
-4,302353;-3,34;0,16
-4,255295;-3,34;0,18
-4,200393;-3,34;0,2
-4,137648;-3,34;0,22
-4,06706;-3,34;0,24
-3,988628;-3,34;0,26
-3,902354;-3,34;0,28
-3,808236;-3,34;0,3
-3,706275;-3,34;0,32
-3,596471;-3,34;0,34
-3,478824;-3,34;0,36
-3,400393;-3,34;0,38
-3,24353;-3,34;0,4
-3,125883;-3,34;0,42
-3,013866;-3,34;0,4400001
-2,890588;-3,34;0,4600001
-2,81777;-3,34;0,4800001
-2,655294;-3,34;0,5000001
-2,621694;-3,34;0,52
-2,423014;-3,34;0,54
-2,302352;-3,34;0,56
-2,226924;-3,34;0,58
-2,067058;-3,34;0,6
-2,029065;-3,34;0,6199999
-1,832974;-3,34;0,6399999
-1,714117;-3,34;0,6599999
-1,634675;-3,34;0,6799999
-1,478823;-3,34;0,6999999
-1,438597;-3,34;0,7199998
-1,243529;-3,34;0,7399998
-1,240812;-3,34;0,7599998
-1,044725;-3,34;0,7799998
-0,8905876;-3,34;0,7999998
-0,7729405;-3,34;0,8199998
-0,7457308;-3,34;0,8399997
-0,5463402;-3,34;0,8599997
-0,4199994;-3,34;0,8799997
-0,3502619;-3,34;0,8999997
-0,1847053;-3,34;0,9199997
-0,1525549;-3,34;0,9399996
0,04353746;-3,34;0,9599996
0,1682359;-3,34;0,9799996
0,241838;-3,34;0,9999996
0,40353;-3,34;1,02
0,4419616;-3,34;1,04
0,6380445;-3,34;1,06
0,7564712;-3,34;1,08
0,835871;-3,34;1,1
0,9917653;-3,34;1,12
1,031963;-3,34;1,14
1,227059;-3,34;1,159999
1,230282;-3,34;1,179999
1,426362;-3,34;1,199999
1,580001;-3,34;1,219999
1,624627;-3,34;1,239999
1,815295;-3,34;1,259999
1,824509;-3,34;1,279999
2,020587;-3,34;1,299999
2,168236;-3,34;1,319999
2,219893;-3,34;1,339999
2,40353;-3,34;1,359999
2,420649;-3,34;1,379999
2,616731;-3,34;1,399999
2,756472;-3,34;1,419999
2,812821;-3,34;1,439999
2,991766;-3,34;1,459999
3,009701;-3,34;1,479999
3,209661;-3,34;1,499999
3,344707;-3,34;1,519999
3,405753;-3,34;1,539999
3,580002;-3,34;1,559999
3,603251;-3,34;1,579999
3,803084;-3,34;1,599999
3,932943;-3,34;1,619999
4,000607;-3,34;1,639999
4,168238;-3,34;1,659999
4,196743;-3,34;1,679999
4,392822;-3,34;1,699999
4,521179;-3,34;1,719999
4,590697;-3,34;1,739999
4,756474;-3,34;1,759999
4,786797;-3,34;1,779999
4,982879;-3,34;1,799999
5,109415;-3,34;1,819999
5,178957;-3,34;1,839999
5,344709;-3,34;1,859999
5,375056;-3,34;1,879999
5,571136;-3,34;1,899999
5,697651;-3,34;1,919999
5,767208;-3,34;1,939999
5,932945;-3,34;1,959999
5,963637;-3,34;1,979999
6,159759;-3,34;1,999999
6,285887;-3,34;2,019999
